14427944451,131,
6282782637,228,
8919633336,221,
5824168202,198,
3049154371,116,
3227791091,252,
5364691296,110,
1844284141,104,
5209954666,180,
6667082233,100,
11980993931,183,
9407525855,195,
200928686,178,
8962047995,166,
9886335574,96,
3340065699,293,
13628953188,225,
9353279996,238,
8441088946,258,
2510570287,248,
12460941183,250,
13310141307,239,
9112289534,114,
1491264920,308,
6382044647,208,
6786659384,196,
8263558754,232,
8060667920,308,
7962360725,305,
6961046390,347,
6163183220,143,
5976639262,308,
